project`tpath`tsize`tfirstline
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\diagnose-zygiskfrida.ps1	4511	# ZygiskFrida Diagnostic Script
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\install-cert.ps1	1045	# Install Certificate Script
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\patch-and-install.ps1	1716	# APK Patcher - Inject Frida Gadget
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\quickstart.ps1	3523	# Quick Start Script for Snapchat API System
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\REALITY_CHECK.ps1	1884	# FINAL SOLUTION: Install Snapchat from Play Store, then test WITHOUT SS03
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\setup-mitm-capture.ps1	3504	# MITM + Frida Setup - Capture After Login
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\setup-pc.ps1	732	# Simple Setup Script
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\setup-phone.ps1	1664	# Simple Phone Setup Script
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-api-capture.ps1	1383	# Simple API Capture - No MITM needed!
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-capture.ps1	1418	# Start mitmproxy for traffic capture
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-frida.ps1	1088	# Start Frida for runtime hooking
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-login-capture-zygisk.ps1	1104	# Start Login Capture with ZygiskFrida
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-login-capture.ps1	1975	# Start Login Capture (Stealth + No Proxy)
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-mitm-capture.ps1	1000	# Start MITM Capture with SSL Unpinning
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-stealth.ps1	876	# Start Stealth Capture
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\start-ultimate-stealth.ps1	490	Write-Host 'ULTIMATE STEALTH MODE' -ForegroundColor Cyan
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\unset-proxy.ps1	410	# Unset Phone Proxy
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\bats\Sinister_Auto_Runner.ps1	5183	# Sinister_Auto_Runner.ps1 â€” PowerShell auto-runner.
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\sinister-rka\Sinister RKA GOOD\scripts\health-check.ps1	2606	# Quick health check â€” run any time to see "is my fleet actually working?"
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\sinister-rka\Sinister RKA GOOD\scripts\run-server.ps1	1062	# Sinister RKA â€” PowerShell launcher (T: layout, Android Studio JBR, fleet-mod
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\sinister-rka\Sinister RKA GOOD\scripts\server-watchdog.ps1	3359	# Keeps server-java running + detects public IP changes + writes state.json.
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\sinister-rka\Sinister RKA GOOD\scripts\test-keybox.ps1	8096	# Sinister RKA â€” on-phone keybox probe (TrickyStore + TrickyAddon fallback pat
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\sinister-rka\Sinister RKA GOOD\scripts\update-phone-config.ps1	2434	# Update Sinister RKA config on one or more connected phones.
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\sinister-rka\Sinister RKA GOOD\scripts\when-user-returns.ps1	6580	# Sinister RKA -- one-shot setup script to run when the user returns.
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\sinister-rka\Sinister RKA GOOD\Sinister RKA Module\source\update-phone-config.ps1	2434	# Update Sinister RKA config on one or more connected phones.
sinister-snap-emu	C:\Users\Zonia\Desktop\Sinister Snap EMU.API\snap-signer-tree\desktop\setup-phone.ps1	4301	# Snapchat API Signer - Phone Setup Script
